Eleicao;Município;Candidato - nome completo;Candidato - nome de urna;Gênero;Partido; Coligação;Votos;Percentual;Situação
Eleições Municipais 2020;MURIAÉ;ANTÔNIO AFONSO SOARES TOMÁS;AFONSO DA SAÚDE;MASCULINO;PTB;PTB;1.851;3,27;Eleito por QP
Eleições Municipais 2020;MURIAÉ;CARLOS DELFIM SOARES RIBEIRO;CARLOS DELFIM;MASCULINO;PDT;PDT;1.626;2,87;Eleito por QP
Eleições Municipais 2020;MURIAÉ;DEVAIL GOMES CORREA;DEVAIL;MASCULINO;PP;PP;1.577;2,78;Eleito por QP
Eleições Municipais 2020;MURIAÉ;CHRISTIAN TANUS BAHIA;CHRISTIAN TANUS BAHIA;MASCULINO;PTB;PTB;1.551;2,74;Eleito por QP
Eleições Municipais 2020;MURIAÉ;RANGEL MARTINO DE OLIVEIRA PAIVA;DELEGADO RANGEL;MASCULINO;PSB;PSB;1.419;2,5;Eleito por QP
Eleições Municipais 2020;MURIAÉ;ANDERSON OLIVEIRA DA SILVA;ANDERSON;MASCULINO;PSD;PSD;1.230;2,17;Eleito por QP
Eleições Municipais 2020;MURIAÉ;VALDINEI LACERDA DA SILVA;VALDINEI LACERDA;MASCULINO;PSD;PSD;1.024;1,81;Eleito por QP
Eleições Municipais 2020;MURIAÉ;CELSO RICARDO DE OLIVEIRA;CELSINHO;MASCULINO;PSD;PSD;967;1,71;Eleito por QP
Eleições Municipais 2020;MURIAÉ;GERSON FERREIRA VARELLA NETO;DR GERSON VARELLA NETO;MASCULINO;PSL;PSL;946;1,67;Eleito por QP
Eleições Municipais 2020;MURIAÉ;VANDERLEI LUIZ LOPES;LELEI;MASCULINO;PSD;PSD;907;1,6;Eleito por média
Eleições Municipais 2020;MURIAÉ;ADEMAR CAMERINO;ADEMAR CAMERINO;MASCULINO;MDB;MDB;841;1,48;Eleito por média
Eleições Municipais 2020;MURIAÉ;FREDERICO FARIA SILVA;DR FREDERICO;MASCULINO;PTB;PTB;802;1,42;Eleito por média
Eleições Municipais 2020;MURIAÉ;ELVANDRO MACIEL DA SILVA;EVANDRO CHEROSO;MASCULINO;CIDADANIA;CIDADANIA;780;1,38;Eleito por QP
Eleições Municipais 2020;MURIAÉ;JAIR SANCHES ABREU;JAIR ABREU;MASCULINO;PT;PT;768;1,36;Não eleito
Eleições Municipais 2020;MURIAÉ;CASSIA RIBEIRO DE SOUZA;C¡SSIA RIBEIRO;FEMININO;PT;PT;761;1,34;Não eleito
Eleições Municipais 2020;MURIAÉ;CLAUDIO VINICIUS JOSÉ REZENDE;CLAUDIO MACUCO;MASCULINO;PSL;PSL;751;1,33;Suplente
Eleições Municipais 2020;MURIAÉ;WELLINGTON FORIM FRANCISCO DE ASSIS SILVA;FORIM;MASCULINO;SOLIDARIEDADE;SOLIDARIEDADE;736;1,3;Eleito por QP
Eleições Municipais 2020;MURIAÉ;DELSON LUCIO AMARO DE ANDRADE;DELSINHO AMARO;MASCULINO;SOLIDARIEDADE;SOLIDARIEDADE;717;1,27;Eleito por média
Eleições Municipais 2020;MURIAÉ;JOEL MORAIS DE ASEVEDO JUNIOR;SARGENTO JOEL;MASCULINO;PDT;PDT;714;1,26;Suplente
Eleições Municipais 2020;MURIAÉ;JULIO CESAR SIMBRA SOARES;PROFESSOR JULIO SIMBRA;MASCULINO;PSD;PSD;703;1,24;Suplente
Eleições Municipais 2020;MURIAÉ;WALTECY RODRIGUES DA COSTA JUNIOR;CISO;MASCULINO;PL;PL;674;1,19;Eleito por média
Eleições Municipais 2020;MURIAÉ;JOSÉ CARLOS ALVES CERQUEIRA;DR JOSÉ CARLOS;MASCULINO;PSD;PSD;670;1,18;Suplente
Eleições Municipais 2020;MURIAÉ;ANTONIO ADILSON DUARTE;ADILSON DUARTE;MASCULINO;SOLIDARIEDADE;SOLIDARIEDADE;666;1,18;Suplente
Eleições Municipais 2020;MURIAÉ;MIRIAM FACCHINI BARBOSA;DRA. MIRIAM ;FEMININO;PP;PP;652;1,15;Eleito por média
Eleições Municipais 2020;MURIAÉ;MILTON DE LIMA SOUZA JUNIOR;DR MILTON DENTISTA;MASCULINO;PTB;PTB;647;1,14;Suplente
