aa_eleicao;sg_partido;nr_partido;pc_candidato;qt_votos_validos;qt_votos_nom_validos;qt_total_vt_leg_validos
2022;AGIR;36;0,0015;158868;145728;13140
2022;AVANTE;70;0,02;2192518;2156992;35526
2022;CIDADANIA;23;0,0147;1614106;1558459;55647
2022;DC;27;0,0009;97741;86594;11147
2022;MDB;15;0,0726;7950895;7760260;190635
2022;NOVO;30;0,0124;1354754;1213753;141001
2022;PATRIOTA;51;0,0139;1526570;1494232;32338
2022;PC do B;65;0,0105;1154712;1104941;49771
2022;PCB;21;0,0008;85511;64250;21261
2022;PCO;29;0,0001;7308;3598;3710
2022;PDT;12;0,035;3828367;3515491;312876
2022;PL;22;0,1662;18200300;17459916;740384
2022;PMB;35;0,0008;83055;73499;9556
2022;PMN;33;0,0023;256578;240563;16015
2022;PODE;19;0,033;3610634;3189389;421245
2022;PP;11;0,0794;8692918;8497158;195760
2022;PROS;90;0,0073;799661;787849;11812
2022;PRTB;28;0,0027;293392;277718;15674
2022;PSB;40;0,0381;4174899;4027872;147027
2022;PSC;20;0,0178;1944678;1895691;48987
2022;PSD;55;0,0758;8293956;8094289;199667
2022;PSDB;45;0,0302;3309061;3154895;154166
2022;PSOL;50;0,0352;3852246;3775574;76672
2022;PSTU;16;0,0003;27995;16518;11477
2022;PT;13;0,1209;13236698;11972890;1263808
2022;PTB;14;0,013;1422652;1367536;55116
2022;PV;43;0,0087;954578;902212;52366
2022;REDE;18;0,0072;782917;761451;21466
2022;REPUBLICANOS;10;0,0695;7610894;7495836;115058
2022;SOLIDARIEDADE;77;0,0155;1702519;1663309;39210
2022;UNIÃO;44;0,0933;10215433;10043627;171806
2022;UP;80;0,0005;54586;48495;6091
